order_id,lng,lat,depot_lat,depot_lng,dlvr_seq_num
935442.0,43.81414,126.56893,43.8121,126.5669,1
2119726.0,43.81954,126.57,43.8121,126.5669,2
1163945.0,43.82254,126.56808,43.8121,126.5669,3
1898768.0,43.82126,126.56574,43.8121,126.5669,4
1967889.0,43.82447,126.56403,43.8121,126.5669,5
3143754.0,43.81791,126.55921,43.8121,126.5669,6
2349221.0,43.81811,126.55716,43.8121,126.5669,7
4312189.0,43.81513,126.55094,43.8121,126.5669,8
1720666.0,43.82043,126.54845,43.8121,126.5669,9
1331947.0,43.82336,126.54723,43.8121,126.5669,10
98750.0,43.82377,126.55001,43.8121,126.5669,11
884300.0,43.82441,126.54414,43.8121,126.5669,12
3024356.0,43.82416,126.54393,43.8121,126.5669,13
689448.0,43.82785,126.55272,43.8121,126.5669,14
2918628.0,43.82599,126.57607,43.8121,126.5669,15
512980.0,43.82581,126.57915,43.8121,126.5669,16
66954.0,43.82113,126.59199,43.8121,126.5669,17
323232.0,43.808,126.56633,43.8121,126.5669,18
2686188.0,43.80409,126.56021,43.8121,126.5669,19
1972934.0,43.80009,126.56047,43.8121,126.5669,20
3639929.0,43.79402,126.55293,43.8121,126.5669,21
2752609.0,43.80953,126.5548,43.8121,126.5669,22
2977295.0,43.80667,126.53659,43.8121,126.5669,23
619869.0,43.77702,126.59201,43.8121,126.5669,24
2561510.0,43.76271,126.49273,43.8121,126.5669,25
