order_id,lng,lat,depot_lat,depot_lng,dlvr_seq_num
935442.0,43.81414,126.56893,43.8121,126.5669,1
2119726.0,43.81954,126.57,43.8121,126.5669,2
1163945.0,43.82254,126.56808,43.8121,126.5669,3
1898768.0,43.82126,126.56574,43.8121,126.5669,4
1967889.0,43.82447,126.56403,43.8121,126.5669,5
2349221.0,43.81811,126.55716,43.8121,126.5669,6
1720666.0,43.82043,126.54845,43.8121,126.5669,7
98750.0,43.82377,126.55001,43.8121,126.5669,8
2977295.0,43.80667,126.53659,43.8121,126.5669,9
512980.0,43.82581,126.57915,43.8121,126.5669,10
