order_id,lng,lat,depot_lat,depot_lng
2556635,126.53566,43.82912,43.8502,126.5445
1507929,126.54484,43.84685,43.8502,126.5445
2234840,126.51653,43.81547,43.8502,126.5445
511292,126.56568,43.84987,43.8502,126.5445
3846410,126.5565,43.84634,43.8502,126.5445
3731521,126.54651,43.8422,43.8502,126.5445
720049,126.55835,43.85397,43.8502,126.5445
410698,126.52634,43.81835,43.8502,126.5445
3806465,126.52507,43.82184,43.8502,126.5445
3619717,126.49256,43.81104,43.8502,126.5445
1142156,126.52478,43.83859,43.8502,126.5445
3199135,126.51849,43.81664,43.8502,126.5445
3131184,126.53544,43.83586,43.8502,126.5445
736639,126.53486,43.82793,43.8502,126.5445
2942539,126.54089,43.84308,43.8502,126.5445
2628380,126.5628,43.85554,43.8502,126.5445
393542,126.52712,43.8274,43.8502,126.5445
3518119,126.5552,43.8472,43.8502,126.5445
1717642,126.52799,43.82267,43.8502,126.5445
21394,126.54469,43.84056,43.8502,126.5445
2940144,126.50244,43.80999,43.8502,126.5445
1819621,126.55913,43.84127,43.8502,126.5445
3259842,126.51983,43.82474,43.8502,126.5445
504164,126.51028,43.82592,43.8502,126.5445
2681638,126.51366,43.82348,43.8502,126.5445
2512547,126.55501,43.84821,43.8502,126.5445
410277,126.55891,43.84739,43.8502,126.5445
2452372,126.52523,43.82733,43.8502,126.5445
3794347,126.51461,43.82125,43.8502,126.5445
2378534,126.54318,43.83759,43.8502,126.5445
3868042,126.51441,43.81535,43.8502,126.5445
2130140,126.49753,43.81582,43.8502,126.5445
3885859,126.55553,43.8452,43.8502,126.5445
2654626,126.54036,43.8412,43.8502,126.5445
629041,126.51801,43.81575,43.8502,126.5445
3984733,126.55724,43.85006,43.8502,126.5445
3700735,126.56152,43.84231,43.8502,126.5445
3501247,126.52302,43.82286,43.8502,126.5445
1766686,126.52705,43.82199,43.8502,126.5445
1850418,126.52391,43.82484,43.8502,126.5445
4137934,126.56581,43.84589,43.8502,126.5445
2017561,126.54216,43.84027,43.8502,126.5445
1765501,126.54566,43.84274,43.8502,126.5445
73659,126.54089,43.84229,43.8502,126.5445
2644638,126.52078,43.8179,43.8502,126.5445
741503,126.51703,43.81989,43.8502,126.5445
1234559,126.53055,43.83118,43.8502,126.5445
279491,126.56597,43.85418,43.8502,126.5445
1039584,126.5237,43.82061,43.8502,126.5445
2632398,126.55066,43.83945,43.8502,126.5445
